kingdom	phylum	class	order	family	genus	species	lastvalue	otu_seq_comp_appr	otu_db	lsid	taxonRank	specificEpithet
asv.21	Eukaryota	Arthropoda	Insecta	Lepidoptera	Notodontidae	Harpyia	Harpyia umbrosa	Harpyia umbrosa	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.248	Eukaryota	Arthropoda	Insecta	Lepidoptera	Geometridae	Eois	Eois sp. 2 PS_2010	Eois sp. 2 PS_2010	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.274	Eukaryota		Bigyra	Thraustochytrida	Thraustochytriaceae	Aurantiochytrium	Aurantiochytrium limacinum	Aurantiochytrium limacinum	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.304	Eukaryota	Annelida	Polychaeta	Phyllodocida	Polynoidae		Polynoidae sp. BOLD_AAY5847	Polynoidae sp. BOLD_AAY5847	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.315	Eukaryota	Arthropoda	Insecta	Coleoptera	Meloidae	Hycleus	Hycleus histrio	Hycleus histrio	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.357	Eukaryota	Arthropoda	Arachnida	Araneae	Araneidae	Neoscona	Neoscona theisi	Neoscona theisi	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.528	Eukaryota	Oomycota		Leptomitales		Apodachlya	Apodachlya minima	Apodachlya minima	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.671	Eukaryota	Mollusca	Bivalvia				Bivalvia sp. BOLD_ACQ7224	Bivalvia sp. BOLD_ACQ7224	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.727	Eukaryota	Arthropoda	Insecta	Coleoptera			Coleoptera sp. INDOBIOSYS_CCDB26008_B08	Coleoptera sp. INDOBIOSYS_CCDB26008_B08	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
asv.728	Eukaryota	Annelida	Polychaeta	Phyllodocida	Polynoidae		Polynoidae sp. BOLD_AAY5847	Polynoidae sp. BOLD_AAY5847	bowtie2;2.4.4;ANACAPA-blca;2021	MIDORI_UNIQ_GB246_CO1			
